name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons
"Aesi, Tyrant of Gyre Strait",0.8096,6.0,{4}{G}{U},Legendary Creature — Serpent,844,card_draw|etb_synergy|landfall,0.8495,1.0,0.64,0.798,0.65,0.6,0.8247,"Rôles utiles pour la stratégie : landfall, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 844)"
Valakut Exploration,0.8037,3.0,{2}{R},Enchantment,1541,etb_synergy|graveyard_synergy|landfall|enchantment_synergy,0.7671,1.0,0.64,0.8317,0.65,1.0,0.7085,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1541) | Mana value cohérente (3.0)"
"Omnath, Locus of the Roil",0.8032,4.0,{1}{G}{U}{R},Legendary Creature — Elemental,3634,card_draw|etb_synergy|counter_synergy|landfall,0.805,1.0,0.71,0.8847,0.4,0.8,0.6627,"Rôles utiles pour la stratégie : landfall, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (4.0)"
Field of the Dead,0.7986,0,,Land,448,etb_synergy|token_generation|tribal_synergy,0.8257,1.0,0.49,0.7882,0.85,0.75,0.9216,"Rôles utiles pour la stratégie : etb_synergy, token_generation | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 448)"
Avenger of Zendikar,0.7977,7.0,{5}{G}{G},Creature — Elemental,271,etb_synergy|token_generation|counter_synergy|landfall,0.8455,1.0,0.52,0.808,0.85,0.25,0.9325,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 271)"
"Omnath, Locus of Rage",0.7973,7.0,{3}{R}{R}{G}{G},Legendary Creature — Elemental,942,etb_synergy|token_generation|landfall,0.8565,1.0,0.57,0.8674,0.65,0.25,0.8286,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 942)"
"Uro, Titan of Nature's Wrath",0.7916,3.0,{1}{G}{U},Legendary Creature — Elder Giant,1436,card_draw|etb_synergy|graveyard_synergy|lifegain,0.7453,1.0,0.64,0.7797,0.65,1.0,0.7674,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1436) | Mana value cohérente (3.0)"
Windswept Heath,0.7885,0,,Land,46,ramp|tutor,0.9278,1.0,0.24,0.7737,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 46)"
Wooded Foothills,0.7867,0,,Land,48,ramp|tutor,0.918,1.0,0.24,0.7779,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 48)"
Rampaging Baloths,0.7867,6.0,{4}{G}{G},Creature — Beast,362,etb_synergy|token_generation|landfall,0.7709,1.0,0.52,0.8141,0.85,0.5,0.8915,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 362)"
Misty Rainforest,0.7865,0,,Land,40,ramp|tutor,0.929,1.0,0.24,0.7581,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 40)"
Scalding Tarn,0.7865,0,,Land,49,ramp|tutor,0.9199,1.0,0.24,0.7732,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 49)"
Arid Mesa,0.7855,0,,Land,55,ramp|tutor,0.9231,1.0,0.24,0.7618,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 55)"
Flooded Strand,0.7852,0,,Land,39,ramp|tutor,0.9118,1.0,0.24,0.7781,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 39)"
Retreat to Coralhelm,0.7845,3.0,{2}{U},Enchantment,1738,etb_synergy|landfall|enchantment_synergy,0.7395,1.0,0.59,0.818,0.65,1.0,0.6947,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1738) | Mana value cohérente (3.0)"
Courser of Kruphix,0.7786,3.0,{1}{G}{G},Enchantment Creature — Centaur,1182,etb_synergy|lifegain|landfall|enchantment_synergy,0.625,1.0,0.71,0.8174,0.65,1.0,0.6375,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1182) | Mana value cohérente (3.0)"
Fabled Passage,0.7735,0,,Land,54,ramp|tutor,0.8432,1.0,0.26,0.7877,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 54)"
"Moraug, Fury of Akoum",0.7694,6.0,{4}{R}{R},Legendary Creature — Minotaur Warrior,1007,etb_synergy|anthem|landfall,0.7537,1.0,0.57,0.8193,0.65,0.5,0.7019,"Rôles utiles pour la stratégie : landfall, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1007)"
Simic Growth Chamber,0.7691,0,,Land,281,ramp|etb_synergy,0.8077,1.0,0.37,0.783,0.85,0.75,0.9117,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 281)"
"Nissa, Resurgent Animist",0.7664,3.0,{2}{G},Legendary Creature — Elf Scout,2073,ramp|etb_synergy|tribal_synergy|landfall,0.6778,1.0,0.71,0.8204,0.4,1.0,0.5928,"Rôles utiles pour la stratégie : landfall, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (3.0)"
"Titania, Protector of Argoth",0.765,5.0,{3}{G}{G},Legendary Creature — Elemental,1100,etb_synergy|token_generation|graveyard_synergy|recursion,0.7373,1.0,0.54,0.7898,0.65,0.8,0.763,"Rôles utiles pour la stratégie : etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 1100) | Mana value cohérente (5.0)"
Verdant Catacombs,0.7633,0,,Land,47,ramp|tutor,0.8301,1.0,0.24,0.7685,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 47)"
Cultivate,0.7622,3.0,{2}{G},Sorcery,20,ramp|tutor,0.8166,1.0,0.19,0.8002,1.0,1.0,0.9991,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 20) | Mana value cohérente (3.0)"
Polluted Delta,0.7601,0,,Land,37,ramp|tutor,0.8182,1.0,0.24,0.7671,1.0,0.75,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 37)"
Marsh Flats,0.7599,0,,Land,50,ramp|tutor,0.8151,1.0,0.24,0.7711,1.0,0.75,0.9983,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 50)"
Gruul Turf,0.7595,0,,Land,413,ramp|etb_synergy,0.7722,1.0,0.37,0.7804,0.85,0.75,0.8922,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 413)"
Farseek,0.7584,2.0,{1}{G},Sorcery,23,ramp|tutor,0.8565,1.0,0.14,0.7753,1.0,1.0,1.0,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 23) | Mana value cohérente (2.0)"
Ketria Triome,0.7574,0,,Land — Forest Island Mountain,356,ramp|card_draw,0.8441,1.0,0.29,0.7485,0.85,0.75,0.9318,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 356)"
Spelunking,0.7552,3.0,{2}{G},Enchantment,701,card_draw|etb_synergy|lifegain|enchantment_synergy,0.5331,1.0,0.71,0.8124,0.65,1.0,0.6507,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 701) | Mana value cohérente (3.0)"
Zendikar's Roil,0.7533,5.0,{3}{G}{G},Enchantment,1915,etb_synergy|token_generation|landfall|enchantment_synergy,0.6902,1.0,0.52,0.8202,0.65,0.8,0.7371,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 1915) | Mana value cohérente (5.0)"
Bloodstained Mire,0.7526,0,,Land,43,ramp|tutor,0.7933,1.0,0.24,0.7607,1.0,0.75,0.9863,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 43)"
Raugrin Triome,0.7467,0,,Land — Island Mountain Plains,493,ramp|card_draw,0.8028,1.0,0.29,0.749,0.85,0.75,0.909,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 493)"
Kodama's Reach,0.7461,3.0,{2}{G},Sorcery — Arcane,36,ramp|tutor,0.7618,1.0,0.19,0.7886,1.0,1.0,0.969,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 36) | Mana value cohérente (3.0)"
Rampant Growth,0.7455,2.0,{1}{G},Sorcery,26,ramp|tutor,0.7495,1.0,0.19,0.8058,1.0,1.0,0.9623,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 26) | Mana value cohérente (2.0)"
Garruk's Uprising,0.7426,3.0,{2}{G},Enchantment,92,card_draw|etb_synergy|enchantment_synergy,0.4392,1.0,0.57,0.8195,1.0,1.0,0.7916,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 92) | Mana value cohérente (3.0)"
Jetmir's Garden,0.7419,0,,Land — Mountain Forest Plains,355,ramp|card_draw,0.7671,1.0,0.29,0.7793,0.85,0.75,0.8894,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 355)"
Druid Class,0.7396,2.0,{1}{G},Enchantment — Class,1523,ramp|etb_synergy|lifegain|landfall|enchantment_synergy,0.5132,1.0,0.64,0.8367,0.65,1.0,0.6398,"Rôles utiles pour la stratégie : landfall, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1523) | Mana value cohérente (2.0)"
Spara's Headquarters,0.7386,0,,Land — Forest Plains Island,389,ramp|card_draw,0.7696,1.0,0.29,0.7526,0.85,0.75,0.8908,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 389)"
Cultivator Colossus,0.7375,7.0,{4}{G}{G}{G},Creature — Plant Beast,1555,card_draw|etb_synergy,0.5942,1.0,0.61,0.8016,0.65,0.6,0.6843,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1555)"
Evolving Wilds,0.7354,0,,Land,17,ramp|tutor,0.7625,1.0,0.19,0.7659,1.0,0.75,0.9694,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 17)"
